DATE,MonthlyMeanTemperature
2010-01-31 23:59:00,25.4
2010-02-28 23:59:00,29.8
2010-03-31 23:59:00,32.2
2010-04-30 23:59:00,38.3
2010-05-31 23:59:00,48.0
2010-06-30 23:59:00,52.4
2010-07-31 23:59:00,53.1
2010-08-31 23:59:00,53.7
2010-09-30 23:59:00,47.9
2010-10-31 23:59:00,38.7
2010-11-30 23:59:00,32.5
2010-12-31 23:59:00,20.3
